index,STARTSTATIONNAME,ENDSTATIONNAME,NUMBEROFTRIPS,DELTATIME,STARTSTATIONID,ENDSTATIONID
7107,Clark / de l'Arcade,Clark / Ontario,11,0 days 00:16:42.621181818,228,3
7108,René-Lévesque / Papineau,Place Valois (Valois / Ontario),7,0 days 00:16:42.243000,95,676
7109,Robert-Bourassa / René-Lévesque,Roy / St-André,7,0 days 00:16:41.788714285,873,43
7110,Gare d'autocars de Montréal (Berri / Ontario),CÉGEP du Vieux-Montréal (Ontario / de l'Hôtel-de-Ville),21,0 days 00:16:41.781571428,740,823
7111,BAnQ (Berri),du Mont-Royal / Clark,10,0 days 00:16:41.405000,836,218
7112,de Bellechasse / de Lanaudière,St-Viateur / Casgrain,30,0 days 00:16:41.052566666,824,532
7113,CÉGEP du Vieux-Montréal (Ontario / de l'Hôtel-de-Ville),St-Hubert / de Maisonneuve (sud),6,0 days 00:16:40.920500,823,822
7114,Métro Laurier (Berri / St-Joseph),Parc Molson (d'Iberville / Beaubien),11,0 days 00:16:40.556454545,537,769
7115,Métro Parc  (Hutchison / Ogilvy),St-Hubert / du Mont-Royal,2,0 days 00:16:40.479000,408,187
7116,Roy / St-André,Messier / St-Joseph,9,0 days 00:16:40.369555555,43,752
7117,St-Grégoire / Christophe-Colomb,Milton / St-Laurent,9,0 days 00:16:40.087444444,166,207
7118,du Mont-Royal / de Brébeuf,Garnier / Beaubien,20,0 days 00:16:39.981700,157,47
7119,Métro Joliette  (Hochelaga / Joliette),de Maisonneuve / Fullum,24,0 days 00:16:39.629916666,322,97
7120,15e avenue / Laurier,Métro Frontenac (Ontario / du Havre),4,0 days 00:16:39.431250,378,109
7121,Métro Acadie (de l'Acadie / Beaumont),Lajeunesse / Villeray,3,0 days 00:16:39.358666666,501,489
7122,du Parc-Lafontaine / Rachel,Clark / de l'Arcade,12,0 days 00:16:39.274416666,176,228
7123,Atwater / Sherbrooke,de Maisonneuve / Aylmer (est),4,0 days 00:16:39.029750,126,106
7124,Métro Peel (de Maisonneuve / Stanley),Georges-Vanier / Notre-Dame,2,0 days 00:16:38.949500,62,303
7125,de Maisonneuve / Aylmer (est),du Parc-Lafontaine / Rachel,1,0 days 00:16:38.729000,106,176
7126,Garnier / Beaubien,du Parc-Lafontaine / Rachel,8,0 days 00:16:38.613750,47,176
7127,du Mont-Royal / de Brébeuf,Ste-Catherine / Union,7,0 days 00:16:38.575714285,157,426
7128,Émile-Duployé / Sherbrooke,Pierre-de-Coubertin / Aird,1,0 days 00:16:38.475000,148,647
7129,Messier / St-Joseph,Pierre-de-Coubertin / Aird,6,0 days 00:16:37.659666666,752,647
7130,Peel / Notre-Dame,Square Viger (Berri / Viger),3,0 days 00:16:37.628666666,77,839
7131,de Bleury / de Maisonneuve,St-Urbain / Laurier,7,0 days 00:16:37.585857142,462,437
7132,Métro Lionel-Groulx (St-Jacques / Atwater),Square Victoria (Viger / du Square-Victoria),1,0 days 00:16:37.351000,607,42
7133,Laurier / St-Denis,Parc Molson (d'Iberville / Beaubien),26,0 days 00:16:37.155230769,558,769
7134,de Maisonneuve / Aylmer (ouest),St-Urbain / Laurier,15,0 days 00:16:37.122066666,68,437
7135,Gary-Carter / St-Laurent,Parc Nicolas-Tillemont (des Érables / Villeray),3,0 days 00:16:36.947000,396,835
7136,St-Denis / de Maisonneuve,Jeanne-Mance / René-Lévesque,17,0 days 00:16:36.898000,15,582
7137,Cathcart / McGill College,de l'Hôtel-de-Ville / Rachel,6,0 days 00:16:36.821833333,59,309
7138,Bibliothèque d'Ahuntsic (Lajeunesse / Fleury),Jacques-Casault / Christophe-Colomb,2,0 days 00:16:36.769000,797,491
7139,Métro Frontenac (Ontario / du Havre),du Parc-Lafontaine / Rachel,6,0 days 00:16:36.757166666,109,176
7140,St-Hubert / de Maisonneuve (sud),de Maisonneuve / Mansfield (sud),5,0 days 00:16:36.719200,822,26
7141,Métro Acadie (de l'Acadie / Beaumont),St-Urbain / Laurier,6,0 days 00:16:36.686833333,501,437
7142,Place du Canada (Peel / des Canadiens-de-Montréal),St-Hubert / de Maisonneuve (nord),1,0 days 00:16:36.462000,55,594
7143,St-Urbain / Laurier,Fabrik8 (Waverly / Jean-Talon),5,0 days 00:16:36.384400,437,801
7144,Métro Mont-Royal (Utilités publiques / Rivard),de Bellechasse / de Lanaudière,6,0 days 00:16:36.311666666,347,824
7145,Marché Atwater,de la Porte de Québec / St-André,1,0 days 00:16:36.195000,306,11
7146,St-Urbain / Laurier,des Carrières / Marquette,16,0 days 00:16:35.811687500,437,130
7147,Ste-Catherine / Drummond,Roy / St-André,3,0 days 00:16:35.633666666,60,43
7148,St-Antoine / Jean-Paul Riopelle,du Mont-Royal / Clark,7,0 days 00:16:35.586285714,39,218
7149,de Maisonneuve / Aylmer (ouest),Métro Frontenac (Ontario / du Havre),2,0 days 00:16:35.518000,68,109
7150,Parc Jeanne-Mance (du Mont-Royal / du Parc),de Bellechasse / de Lanaudière,1,0 days 00:16:35.417000,220,824
7151,Préfontaine / Marcel-Pépin,St-Hubert / du Mont-Royal,1,0 days 00:16:35.315000,848,187
7152,Dorion / Ontario,Bennett / Ste-Catherine,6,0 days 00:16:35.042333333,108,530
7153,McTavish / Sherbrooke,Métro Lionel-Groulx (St-Jacques / Atwater),42,0 days 00:16:34.847809523,608,607
7154,Milton / St-Laurent,des Érables / Rachel,9,0 days 00:16:34.811888888,207,142
7155,du Parc-Lafontaine / Rachel,des Carrières / Marquette,13,0 days 00:16:34.720769230,176,130
7156,Molson / Wiliam-Tremblay,Métro St-Michel (Shaughnessy / St-Michel),1,0 days 00:16:34.682000,886,349
7157,René-Lévesque / Papineau,Métro Joliette  (Hochelaga / Joliette),1,0 days 00:16:34.618000,95,322
7158,Parc Molson (d'Iberville / Beaubien),du Mont-Royal / de Brébeuf,5,0 days 00:16:34.581200,769,157
7159,Parc Jeanne-Mance (du Mont-Royal / du Parc),Ste-Catherine / Drummond,1,0 days 00:16:34.536000,220,60
7160,Complexe Desjardins (St-Urbain / René-Lévesque),McTavish / Sherbrooke,6,0 days 00:16:34.428166666,888,608
7161,Messier / St-Joseph,St-Viateur / Casgrain,39,0 days 00:16:34.330179487,752,532
7162,Rachel / de Brébeuf,de la Commune / Berri,1,0 days 00:16:34.282000,144,22
7163,Roy / St-André,Aylwin / Ontario,2,0 days 00:16:34.260500,43,325
7164,St-Urbain / Laurier,de Maisonneuve / Mansfield (nord),8,0 days 00:16:34.221875,437,559
7165,Métro Acadie (de l'Acadie / Beaumont),Garnier / Beaubien,1,0 days 00:16:34.171000,501,47
7166,Workman / Vinet,Square Victoria (Viger / du Square-Victoria),1,0 days 00:16:33.850000,307,42
7167,Roy / St-André,des Carrières / Marquette,34,0 days 00:16:33.818970588,43,130
7168,Chabanel / Tolhurst,Fabrik8 (Waverly / Jean-Talon),1,0 days 00:16:33.772000,622,801
7169,Métro Laurier (Berri / St-Joseph),de la Commune / King,1,0 days 00:16:33.270000,537,51
7170,de Bellechasse / de Lanaudière,Jean-Talon / de l'Épée,4,0 days 00:16:33.251250,824,500
7171,Duke / Nazareth,Métro Georges-Vanier (St-Antoine / Canning),1,0 days 00:16:33.237000,76,308
7172,Ste-Catherine / Union,du Mont-Royal / de Brébeuf,6,0 days 00:16:32.685833333,426,157
7173,Métro Mont-Royal (Utilités publiques / Rivard),McTavish / Sherbrooke,25,0 days 00:16:32.623520,347,608
7174,St-Grégoire / Christophe-Colomb,Fabrik8 (Waverly / Jean-Talon),25,0 days 00:16:32.604680,166,801
7175,de la Commune / Berri,Rachel / de Brébeuf,3,0 days 00:16:32.576666666,22,144
7176,Métro Papineau (Dorion / De Maisonneuve),Berri / Rachel,2,0 days 00:16:32.464500,103,545
7177,Ste-Catherine / Union,Dorion / Ontario,19,0 days 00:16:32.378105263,426,108
7178,Métro St-Laurent ( de Maisonneuve / St-Laurent),Métro Papineau (Dorion / De Maisonneuve),18,0 days 00:16:32.135000,834,103
7179,Métro Laurier (Berri / St-Joseph),St-Hubert / du Mont-Royal,3,0 days 00:16:32.098000,537,187
7180,Métro Place-d'Armes (Viger / St-Urbain),St-Denis / de Maisonneuve,16,0 days 00:16:31.836625,31,15
7181,Frontenac / Ste-Catherine,Cartier / Marie-Anne,3,0 days 00:16:31.756333333,99,544
7182,Berri / Rachel,Square Victoria (Viger / du Square-Victoria),5,0 days 00:16:31.708400,545,42
7183,de la Montagne / Notre-Dame,Ste-Émilie / Sir-Georges-Etienne-Cartier,9,0 days 00:16:31.183111111,291,302
7184,de la Montagne / Notre-Dame,Clark / Ontario,3,0 days 00:16:31.041000,291,3
7185,Métro Sherbrooke (de Rigaud / Berri),de Maisonneuve / Mackay,7,0 days 00:16:30.964714285,19,89
7186,St-Jacques / McGill,Métro St-Laurent ( de Maisonneuve / St-Laurent),2,0 days 00:16:30.912000,40,834
7187,Workman / Vinet,de la Commune / Place Jacques-Cartier,5,0 days 00:16:30.862400,307,25
7188,Frontenac / Ste-Catherine,Rachel / de Brébeuf,2,0 days 00:16:30.616000,99,144
7189,de Bellechasse / de Lanaudière,Jacques-Casault / Christophe-Colomb,37,0 days 00:16:30.577675675,824,491
7190,Square Victoria (Viger / du Square-Victoria),Calixa-Lavallée / Rachel,1,0 days 00:16:30.554000,42,143
7191,Métro Sherbrooke (de Rigaud / Berri),Gare d'autocars de Montréal (Berri / Ontario),8,0 days 00:16:30.504875,19,740
7192,Georges-Vanier / Notre-Dame,Square Victoria (Viger / du Square-Victoria),2,0 days 00:16:30.483000,303,42
7193,Parc Molson (d'Iberville / Beaubien),du Havre / Hochelaga,3,0 days 00:16:30.431666666,769,80
7194,Duke / Nazareth,St-Denis / de Maisonneuve,1,0 days 00:16:30.415000,76,15
7195,Square Viger (Berri / Viger),Parc Jeanne-Mance (monument sir George-Étienne-Cartier),2,0 days 00:16:30.226500,839,214
7196,Peel / Notre-Dame,Milton / St-Laurent,30,0 days 00:16:29.995000,77,207
7197,St-Grégoire / Christophe-Colomb,de Maisonneuve / Fullum,1,0 days 00:16:29.956000,166,97
7198,Clark / de l'Arcade,de la Commune / St-Sulpice,1,0 days 00:16:29.896000,228,35
7199,Gary-Carter / St-Laurent,Jean-Talon / de l'Épée,4,0 days 00:16:29.890000,396,500
7200,St-Urbain / Laurier,Masson / Molson,22,0 days 00:16:29.623318181,437,780
7201,Clark / de l'Arcade,Ball / Bloomfield,8,0 days 00:16:29.579625,228,514
7202,St-Jacques / McGill,Parc St-Henri (Laporte / Guay),2,0 days 00:16:29.568000,40,427
7203,Ontario / Ville-Marie,Frontenac / Ste-Catherine,1,0 days 00:16:29.369000,474,99
7204,Chabanel / du Parc,Métro Parc  (Hutchison / Ogilvy),8,0 days 00:16:29.368375,623,408
7205,Métro St-Laurent ( de Maisonneuve / St-Laurent),St-Jacques / des Seigneurs,1,0 days 00:16:29.342000,834,667
7206,Gare d'autocars de Montréal (Berri / Ontario),Parc Jeanne-Mance (monument sir George-Étienne-Cartier),1,0 days 00:16:29.315000,740,214
7207,Ottawa / du Séminaire,Jeanne-Mance / René-Lévesque,1,0 days 00:16:29.140000,381,582
7208,Square Victoria (Viger / du Square-Victoria),Notre-Dame / St-Gabriel,9,0 days 00:16:29.132111111,42,24
7209,William / Robert-Bourassa,Ste-Émilie / Sir-Georges-Etienne-Cartier,1,0 days 00:16:29.078000,575,302
7210,Métro Champ-de-Mars (Viger / Sanguinet),Ottawa / William,1,0 days 00:16:28.984000,1,563
7211,Émile-Duployé / Sherbrooke,Métro Laurier (Berri / St-Joseph),22,0 days 00:16:28.981636363,148,537
7212,Métro St-Michel (Shaughnessy / St-Michel),Pierre-de-Coubertin / Aird,1,0 days 00:16:28.941000,349,647
7213,Métro Papineau (Dorion / De Maisonneuve),Métro Joliette  (Hochelaga / Joliette),20,0 days 00:16:28.885050,103,322
7214,Notre-Dame  / St-Martin,Jeanne-Mance / Sherbrooke,3,0 days 00:16:28.856333333,301,122
7215,Gary-Carter / St-Laurent,Bibliothèque d'Ahuntsic (Lajeunesse / Fleury),2,0 days 00:16:28.750500,396,797
7216,Atwater / Greene,Smith / Peel,5,0 days 00:16:28.696400,548,641
7217,Calixa-Lavallée / Rachel,de Maisonneuve / Aylmer (est),6,0 days 00:16:28.568833333,143,106
7218,St-Denis / de Maisonneuve,Berri / Rachel,12,0 days 00:16:28.548000,15,545
7219,St-Denis / de Maisonneuve,de Maisonneuve / Mansfield (sud),1,0 days 00:16:28.463000,15,26
7220,Robert-Bourassa / René-Lévesque,Ste-Émilie / Sir-Georges-Etienne-Cartier,1,0 days 00:16:28.454000,873,302
7221,Viger / Chenneville,Milton / St-Laurent,4,0 days 00:16:28.251000,34,207
7222,Messier / St-Joseph,Marmier / St-Denis,20,0 days 00:16:28.030850,752,168
7223,La Tour de Montréal (Pierre-de-Coubertin / Bennett),Molson / Wiliam-Tremblay,3,0 days 00:16:27.791666666,798,886
7224,Stanley / René-Lévesque,Métro St-Laurent ( de Maisonneuve / St-Laurent),6,0 days 00:16:27.702833333,57,834
7225,Métro Mont-Royal (Utilités publiques / Rivard),Square Victoria (Viger / du Square-Victoria),2,0 days 00:16:27.639500,347,42
7226,de la Porte de Québec / St-André,de Maisonneuve / Mansfield (nord),1,0 days 00:16:27.567000,11,559
7227,de Bleury / de Maisonneuve,Calixa-Lavallée / Rachel,4,0 days 00:16:27.186750,462,143
7228,St-Hubert / de Maisonneuve (sud),St-Hubert / de Maisonneuve (sud),35,0 days 00:16:27.120200,822,822
7229,Métro Sherbrooke (de Rigaud / Berri),Parc Jeanne-Mance (du Mont-Royal / du Parc),5,0 days 00:16:26.917200,19,220
7230,de la Commune / Place Jacques-Cartier,de Maisonneuve / Fullum,4,0 days 00:16:26.911000,25,97
7231,Rachel / de Brébeuf,Jeanne-Mance / Sherbrooke,14,0 days 00:16:26.572142857,144,122
7232,Métro Georges-Vanier (St-Antoine / Canning),Notre-Dame / St-Gabriel,8,0 days 00:16:26.415125,308,24
7233,Atwater / Sherbrooke,St-Hubert / de Maisonneuve (sud),1,0 days 00:16:26.080000,126,822
7234,Dorion / Ontario,Messier / St-Joseph,10,0 days 00:16:25.984900,108,752
7235,Ste-Émilie / Sir-Georges-Etienne-Cartier,de la Montagne / Notre-Dame,16,0 days 00:16:25.885187500,302,291
7236,Parc Nicolas-Tillemont (des Érables / Villeray),Jacques-Casault / Christophe-Colomb,1,0 days 00:16:25.861000,835,491
7237,Milton / St-Laurent,de la Montagne / Notre-Dame,3,0 days 00:16:25.861000,207,291
7238,de l'Hôtel-de-Ville / Rachel,Stanley / René-Lévesque,10,0 days 00:16:25.681600,309,57
7239,Square Victoria (Viger / du Square-Victoria),de l'Hôtel-de-Ville / Rachel,1,0 days 00:16:25.656000,42,309
7240,de Bellechasse / de Lanaudière,Molson / Wiliam-Tremblay,25,0 days 00:16:25.537200,824,886
7241,St-Urbain / Laurier,de Maisonneuve / Mansfield (sud),7,0 days 00:16:25.190571428,437,26
7242,St-Hubert / du Mont-Royal,Square Victoria (Viger / du Square-Victoria),1,0 days 00:16:25.169000,187,42
7243,Dorion / Ontario,de l'Hôtel-de-Ville / Rachel,7,0 days 00:16:25.149857142,108,309
7244,Aylwin / Ontario,René-Lévesque / Papineau,3,0 days 00:16:25.075000,325,95
7245,de Maisonneuve / Aylmer (est),du Havre / Hochelaga,1,0 days 00:16:24.975000,106,80
7246,Ottawa / William,de Maisonneuve / Aylmer (est),9,0 days 00:16:24.867000,563,106
7247,René-Lévesque / Papineau,St-Hubert / du Mont-Royal,8,0 days 00:16:24.348125,95,187
7248,Square Victoria (Viger / du Square-Victoria),Métro Papineau (Dorion / De Maisonneuve),15,0 days 00:16:24.102933333,42,103
7249,Place du Canada (Peel / des Canadiens-de-Montréal),Parc Jeanne-Mance (monument sir George-Étienne-Cartier),15,0 days 00:16:24.016800,55,214
7250,des Érables / Rachel,Square Viger (Berri / Viger),22,0 days 00:16:23.919000,142,839
7251,Métro Frontenac (Ontario / du Havre),Pierre-de-Coubertin / Aird,13,0 days 00:16:23.849923076,109,647
7252,Métro Laurier (Berri / St-Joseph),Préfontaine / Marcel-Pépin,1,0 days 00:16:23.821000,537,848
7253,Molson / Wiliam-Tremblay,Métro Laurier (Berri / St-Joseph),3,0 days 00:16:23.710666666,886,537
7254,Atwater / Greene,Atwater / Greene,14,0 days 00:16:23.654571428,548,548
7255,Métro St-Laurent ( de Maisonneuve / St-Laurent),Parc Jeanne-Mance (monument sir George-Étienne-Cartier),2,0 days 00:16:23.514000,834,214
7256,Peel / Notre-Dame,Complexe Desjardins (St-Urbain / René-Lévesque),2,0 days 00:16:23.501000,77,888
7257,Cité des Arts du Cirque (Paul Boutet / des Regrattiers),Lanaudière / Jean-Talon,4,0 days 00:16:23.353250,453,271
7258,Cartier / Marie-Anne,Parc Jeanne-Mance (monument sir George-Étienne-Cartier),6,0 days 00:16:23.157666666,544,214
7259,des Bassins / du Séminaire,de Bleury / de Maisonneuve,3,0 days 00:16:23.152000,290,462
7260,Chabanel / du Parc,Bibliothèque d'Ahuntsic (Lajeunesse / Fleury),2,0 days 00:16:23.053500,623,797
7261,Métro Atwater (Atwater / Ste-Catherine),Jeanne-Mance / René-Lévesque,8,0 days 00:16:23.022375,83,582
7262,de Maisonneuve / Fullum,Berri / Rachel,2,0 days 00:16:23.004500,97,545
7263,de Maisonneuve / Mansfield (nord),Émile-Duployé / Sherbrooke,6,0 days 00:16:22.841833333,559,148
7264,Métro Acadie (de l'Acadie / Beaumont),Parc Jeanne-Mance (du Mont-Royal / du Parc),10,0 days 00:16:22.675500,501,220
7265,des Carrières / Marquette,Dorion / Ontario,25,0 days 00:16:22.632520,130,108
7266,de la Porte de Québec / St-André,Notre-Dame  / St-Martin,1,0 days 00:16:22.618000,11,301
7267,Square Viger (Berri / Viger),Émile-Duployé / Sherbrooke,2,0 days 00:16:22.540500,839,148
7268,du Havre / Hochelaga,St-Hubert / de Maisonneuve (nord),3,0 days 00:16:22.519000,80,594
7269,St-Jacques / des Seigneurs,Square Victoria (Viger / du Square-Victoria),1,0 days 00:16:22.494000,667,42
7270,St-Hubert / de Maisonneuve (sud),Métro Frontenac (Ontario / du Havre),21,0 days 00:16:22.400809523,822,109
7271,Clark / de l'Arcade,Parc Molson (d'Iberville / Beaubien),23,0 days 00:16:22.341695652,228,769
7272,Collège de Rosemont (Beaubien / 15e avenue),Métro Viau ( Pierre-de-Coubertin / Viau),3,0 days 00:16:22.146000,840,329
7273,de l'Hôtel-de-Ville / Rachel,Robert-Bourassa / St-Maurice,2,0 days 00:16:21.596000,309,49
7274,Jeanne-Mance / René-Lévesque,du Mont-Royal / Clark,2,0 days 00:16:21.531500,582,218
7275,Cartier / Marie-Anne,Aylwin / Ontario,36,0 days 00:16:21.409583333,544,325
7276,Aylwin / Ontario,Sherbrooke / Jeanne-d'Arc,5,0 days 00:16:21.339600,325,457
7277,Rachel / de Brébeuf,des Carrières / Marquette,2,0 days 00:16:21.338500,144,130
7278,des Pins / St-Laurent,Notre-Dame  / St-Martin,39,0 days 00:16:21.304000,209,301
7279,de Maisonneuve / Mansfield (nord),Roy / St-André,12,0 days 00:16:21.243916666,559,43
7280,Ste-Catherine / Union,Georges-Vanier / Notre-Dame,1,0 days 00:16:21.241000,426,303
7281,de Chambly / de Rouen,Marché Maisonneuve,4,0 days 00:16:21.121750,850,330
7282,de l'Hôtel-de-Ville / Rachel,Jeanne-Mance / René-Lévesque,4,0 days 00:16:21.102250,309,582
7283,René-Lévesque / Papineau,Robert-Bourassa / St-Maurice,1,0 days 00:16:20.829000,95,49
7284,de Maisonneuve / Fullum,Messier / St-Joseph,3,0 days 00:16:20.767666666,97,752
7285,Messier / St-Joseph,Garnier / Beaubien,10,0 days 00:16:20.711300,752,47
7286,Parc Jeanne-Mance (monument sir George-Étienne-Cartier),Dorion / Ontario,1,0 days 00:16:20.591000,214,108
7287,Notre-Dame / St-Gabriel,des Bassins / du Séminaire,2,0 days 00:16:20.474000,24,290
7288,de Maisonneuve / Mansfield (nord),de la Porte de Québec / St-André,17,0 days 00:16:20.458117647,559,11
7289,St-Rémi / Ste-Émilie,de la Montagne / Notre-Dame,1,0 days 00:16:20.419000,379,291
7290,Place du Canada (Peel / des Canadiens-de-Montréal),René-Lévesque / Papineau,2,0 days 00:16:20.405500,55,95
7291,Métro Parc  (Hutchison / Ogilvy),Métro St-Michel (Shaughnessy / St-Michel),5,0 days 00:16:20.215000,408,349
7292,René-Lévesque / Panet,des Pins / St-Laurent,7,0 days 00:16:20.196857142,94,209
7293,Richmond / des Bassins,St-Rémi / Ste-Émilie,8,0 days 00:16:20.169625,581,379
7294,St-Viateur / Casgrain,Jeanne-Mance / Sherbrooke,5,0 days 00:16:20.139600,532,122
7295,de la Montagne / Notre-Dame,de la Montagne / Notre-Dame,44,0 days 00:16:20.021409090,291,291
7296,Berri / Rachel,McTavish / Sherbrooke,12,0 days 00:16:20.004583333,545,608
7297,Atwater / Sherbrooke,de Bleury / de Maisonneuve,2,0 days 00:16:19.735500,126,462
